no,name,category,city,address,place_id,rating,price,open hours,latitude,longitude,time_minutes,maps,user_id,url,deskripsi
11,Menteng Park,tourist_attraction,Jakarta,"Jl. HOS. Cokroaminoto, RT.3/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",ChIJKeQOsCL0aS4RLuH7DlpcjaI,4.5,0,05.00 am - 10.00 pm,-6.1964087,106.8293106,4,"https://www.google.com/maps/search/?api=1&query=-6.1980252,106.8284394",11,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F11.%20Menteng%20Park%201.jpg?alt=media&token=bfc39891-b53e-4272-a584-72f752fdcc31,"Taman Menteng adalah sebuah taman yang terletak di Menteng, Jakarta Pusat, Indonesia. Taman ini dulunya ditempati oleh Stadion Menteng. Pada bulan Oktober 2006 stadion ini dibongkar dan dibangun taman di kawasan tersebut oleh pemerintahan Sutiyoso. Taman ini terletak di tengah kawasan pemukiman Menteng."
12,Lapangan Banteng Park,tourist_attraction,Jakarta,"Pasar Baru, Sawah Besar, Central Jakarta City, Jakarta 10710, Indonesia",ChIJA88y_8v1aS4RbfwYWObt98A,4.7,0,06.00 am - 09.00 pm,-6.170555,106.8350378,12,"https://www.google.com/maps/search/?api=1&query=-6.1671806,106.8340622",12,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F12.%20Lapangan%20Banteng%20Park%201.jpg?alt=media&token=34f20233-20bf-4112-a787-983301b55721,"Lapangan Banteng adalah sebuah alun-alun bersejarah yang terletak di kawasan bersejarah yang dulu bernama Weltevreden, sekarang Kecamatan Sawah Besar, Jakarta Pusat, Indonesia. Taman Lapangan Banteng terletak di area tersebut. Ada juga jalan bernama Jalan Lapangan Banteng Utara, Selatan, Barat dan Timur yang mengelilingi alun-alun."
13,Suropati Park,tourist_attraction,Jakarta,"Jl. Taman Suropati No.5, RT.5/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",ChIJ-S4F5Bb0aS4RgVq6v81ZM4s,4.6,0,07.00 am - 05.00 pm,-6.199387,106.8326333,5,"https://www.google.com/maps/search/?api=1&query=-6.198224499999999,106.8324489",13,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F13.%20Suropati%20Park%201.jpg?alt=media&token=d8d69548-4610-46f7-9264-26cd4cba464a,"Taman Suropati atau Taman Suropati adalah sebuah taman umum yang terletak di Menteng, Jakarta, Indonesia. Taman ini terletak di pusat kota Menteng dan merupakan pertemuan tiga jalan: Jalan Teuku Umar, Jalan Diponegoro, dan Jalan Imam Bonjol."
14,Museum Taman Prasasti,tourist_attraction,Jakarta,"Jl. Tanah Abang I No.1, RT.11/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160, Indonesia",ChIJme1W2dX1aS4Rl6KryVgIl5A,4.6,5000,09.00 am - 03.00 pm,-6.172452,106.8197689,10,"https://www.google.com/maps/search/?api=1&query=-6.171997999999999,106.8198081",14,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F14.%20Museum%20Taman%20Prasasti%201.jpg?alt=media&token=a9685be3-bb68-4a5c-99ee-4ea53fe7b777,"Museum Taman Prasasti adalah sebuah museum yang terletak di Jakarta, Indonesia. Museum ini dulunya merupakan sebuah pemakaman yang dibangun oleh pemerintah kolonial Belanda pada tahun 1795 sebagai tempat peristirahatan terakhir para bangsawan Belanda."
15,Jakarta Planetarium,tourist_attraction,Jakarta,"Jl. Cikini Raya No.73, RT.8/RW.2, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330, Indonesia",ChIJnfJe3Tj0aS4R4WXkogVfcA8,4.1,12000,08.00 am - 03.00 pm,-6.1900819,106.8388532,10,"https://www.google.com/maps/search/?api=1&query=-6.190389499999999,106.8389629",15,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F15.%20Jakarta%20Planetarium%201.jpg?alt=media&token=af824ce3-3a06-43e0-bab0-40e4ebcf2ef8,"Planetarium tertua di Indonesia, tempat ini menyediakan berbagai atraksi terkait antariksa yang tersedia di sini, seperti pameran, film, dan pertunjukan simulasi luar angkasa yang selalu populer di mana Anda diajak untuk mengapresiasi keindahan bintang dan planet."
16,Situ Lembang Park,tourist_attraction,Jakarta,"Jl. Lembang Terusan No.D-59, RT.6/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 12910, Indonesia",ChIJdXBB9n4QFAURQs2buyfwl98,4.6,70000,09.00 am - 05.00 pm,-6.1978263,106.8345821,6,"https://www.google.com/maps/search/?api=1&query=-6.1984957,106.8351415",16,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F16.%20Situ%20Lembang%20Park%201.jpg?alt=media&token=386d0cfb-9347-47b0-925c-239c5d796f6d,"Sejuknya semilir angin di Taman Situ Lembang, Jakarta Pusat, memberi rasa nyaman bagi siapa saja untuk beristirahat di ruang terbuka tersebut. Kicauan burung dan suara soang yang saling bersahutan juga membuat suasana kian damai sehingga pengunjung bisa sekalian melepas penat."
17,Galeri Indonesia Kaya,art_gallery,Jakarta,"Jl. M.H. Thamrin No.1, RT.1/RW.5, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, Indonesia",ChIJf8IvSSD0aS4RGoaqXgFCQ4I,4.8,0,10.00 am - 09.30 pm,-6.1948499,106.8200607,7,"https://www.google.com/maps/search/?api=1&query=-6.1874783,106.8186109",17,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F17.%20Galeri%20Indonesia%20Kaya%201.jpg?alt=media&token=0db31089-509e-45cb-95a4-50b7acbb7fd5,"Galeri Indonesia Kaya merupakan ruang edutainment budaya yang berbasis teknologi digital, menyuguhkan informasi kekayaan budaya nusantara. Mulai dari alat musik tradisional, mainan tradisional, baju adat, hingga informasi tentang kuliner, pariwisata, tradisi dan kesenian."
18,Tugu Proklamasi,tourist_attraction,Jakarta,"Jl. Proklamasi No.10, RT.10/RW.2, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320, Indonesia",ChIJg5lJJWz0aS4R2177RmjjXYY,4.7,0,06.00 am - 09.00 pm,-6.2030468,106.8466623,7,"https://www.google.com/maps/search/?api=1&query=-6.2023758,106.8462928",18,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F18.%20Tugu%20Proklamasi%201.jpg?alt=media&token=166240d1-0c3c-447b-8ca4-1198bf4382f8,Taman Proklamasi adalah taman yang terletak di bekas milik Sukarno di tempat yang dulunya bernama rumah di Jalan Pegangsaan Timur 56. Rumah yang kini dibongkar ini merupakan tempat pembacaan Proklamasi Kemerdekaan Indonesia pertama kali oleh Sukarno.
19,Taman Kodok Menteng,park,Jakarta,"Taman kodok, RT.3/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",ChIJV-0W9xf0aS4RlAmTRCifLdQ,4.5,0,06.00 am - 10.00 pm,-6.1974418,106.8298288,5,"https://www.google.com/maps/search/?api=1&query=-6.1973213,106.8298024",19,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F19.%20Taman%20Kodok%20Menteng%202.jpg?alt=media&token=ab0f178b-a83e-415f-8668-8ce66d86e41c,"Taman Kodok dilengkapi beberapa fasilitas pendukung untuk memberikan kenyamanan bagi pengunjung, seperti bangku taman yang terbuat dari keramik, ada juga tempat duduk dengan kanopi bolong, serta mini jogging track."
20,Taman Pandang Istana,park,Jakarta,"Jalan Silang Monas Barat Laut, RT.5/RW.2, Gambir, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110, Indonesia",ChIJv0uKBdT1aS4RMm701q_set8,4.5,0,24 hours,-6.1721641,106.8233829,8,"https://www.google.com/maps/search/?api=1&query=-6.1728067,106.8243614",20,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F20.%20Taman%20Pandang%20Istana%201.jpg?alt=media&token=0c2d2e6a-c203-47f8-a984-faf231cf99ce,Taman Pandang Istana di Monas dibuat dengan konsep Bhinneka Tunggal Ika agar penduduk Jakarta bahagia
21,Palm Bay Water Park,tourist_attraction,Jakarta,"Jl. Taman Surya 5 Blok PP 1, RT.8/RW.2, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",ChIJHVf1k6cCai4RoBveE4ERmNs,4.1,50000,09.00 am - 05.00 pm,-6.1384641,106.7102246,44,"https://www.google.com/maps/search/?api=1&query=-6.1347572,106.7070867",21,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F21.%20Palm%20Bay%20Water%20Park%201.jpg?alt=media&token=697befd9-3e5a-44a0-a894-9f23cbabb2a1,"Taman keluarga kecil dengan wahana air & area bermain anak-anak, serta bertemu burung & ular."
22,Pusat Wisata Kuliner JTS Kemayoran,tourist_attraction,Jakarta,"Jl. Garuda I No.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610, Indonesia",ChIJDUACz_r1aS4R4sRdYI9wVjI,4.5,0,12.00 am - 00.00 pm,-6.1595054,106.8497923,20,"https://www.google.com/maps/search/?api=1&query=-6.158746499999999,106.8498384",22,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F22.%20Pusat%20Wisata%20Kuliner%20JTS%20Kemayoran.jpg?alt=media&token=f68f343d-4887-402f-a42b-71a9defe6222,kawasan ini merupakan pusat bina ekonomi sentra usaha kecil menengah dari Koperasi Jakarta Tentram Sejahtera. Saat ini sudah terdapat 200 kios dan akan terus mengembangkan kawasan tersebut.
23,Ayodia Park - Barito,tourist_attraction,Jakarta,"7, Jl. Lamandau III No.RT.4, RT.4/RW.7, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia",ChIJuTW9y2zxaS4RKwSl9KopVgI,4.5,0,24 hours,-6.2453376,106.7945996,25,"https://www.google.com/maps/search/?api=1&query=-6.2443393,106.7945892",23,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F23.%20Ayodia%20Park%20-%20Barito%202.jpg?alt=media&token=4f0ada0e-ea0c-4234-9928-85ac46c16042,"Taman kecil menawan yang berpusat di danau, dengan air mancur & jalan setapak, plus gazebo & gerobak makanan."
24,Cibugary Farm - Wisata Edukasi Cibugary,tourist_attraction,Jakarta,"No., Peternakan Raya No.12, RT.1/RW.2, Pd. Ranggon, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13860, Indonesia",ChIJ09N5HcrsaS4RoET1MJ69mMk,4.6,45000,08.00 am - 05.00 pm,-6.356969,106.906393,61,"https://www.google.com/maps/search/?api=1&query=-6.3613027,106.8924708",24,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F24.%20Cibugary%20Farm%20-%20Wisata%20Edukasi%20Cibugary%201.jpg?alt=media&token=7441f2b7-c59b-4f17-97b8-5e1a740f7f99,merupakan suatu kawasan agro peternakan sapi perah bernuansa kebun / taman dan didukung dengan fasilitas kelas edukasi Klasik
25,Taman Langsat,park,Jakarta,"QQ4V+95Q, Jl. Barito, RT.1/RW.1, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia",ChIJV8QyMBPxaS4Ro39SBRBCZ6k,4.5,0,06.30 am - 05.00 pm,-6.2440393,106.7929958,26,"https://www.google.com/maps/search/?api=1&query=-6.243342699999999,106.7930604",25,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F25.%20Taman%20Langsat%201.jpg?alt=media&token=7f709ebe-3295-4158-95bb-6c7af15cb21d,"Taman dengan deretan pepohonan di samping sungai kecil, dengan jalur joging, taman bermain & kolam teratai."
26,Mataram City Park,tourist_attraction,Jakarta,"Jl. Sisingamangaraja No.2, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110, Indonesia",ChIJwaKHt0bxaS4Rdz5scpPNTtA,4.5,0,24 hours,-6.2328196,106.7995376,21,"https://www.google.com/maps/search/?api=1&query=-6.2322856,106.7988031",26,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F26.%20Mataram%20City%20Park%201.jpg?alt=media&token=50ff2a30-64a3-4cd9-9b95-89cc82a55727,"Taman ini dikenal sebagai destinasi bagi orang-orang yang mencari aktivitas terbaik di Jakarta dan mendambakan ketenangan dan ketenangan sambil dikelilingi pemandangan alam yang indah, serta menawarkan beragam atraksi berbeda yang cocok untuk segala usia."
27,Spathodea Park,tourist_attraction,Jakarta,"Gg. Kriep No.13, RT.13/RW.5, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620, Indonesia",ChIJYZMCJdztaS4RrFazoaK6TW8,4.6,0,07.00 am - 05.00 pm,-6.3224179,106.8237087,39,"https://www.google.com/maps/search/?api=1&query=-6.3220908,106.8235447",27,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F27.%20Spathodea%20Park%201.jpg?alt=media&token=826c66f7-e959-4476-8a2d-f562bfb7f811,"Keistimewaan yang paling diunggulkan dari Taman Spathodea adalah konturnya yang seperti bukit. Dengan bentuk tangga seperti ini, Taman Spathodea sering digunakan untuk olah raga seperti jogging, bulutangkis, atau mencoba peralatan gym di fasilitas outdoor gym yang disediakan."
28,Taman Sambas,park,Jakarta,"No., Jl. Sungai Sambas I No.10, RT.3/RW.5, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia",ChIJg41fam3xaS4ReP8BOB3i9Ds,4.4,0,24 hours,-6.2477534,106.7958064,26,"https://www.google.com/maps/search/?api=1&query=-6.2478454,106.7961531",28,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F28.%20Taman%20Sambas%202.jpg?alt=media&token=48b5085e-cf0c-4b7b-83e2-af8d85985edf,"taman ini adalah areanya yang cukup luas dan terdapat area lansia, area bermain anak, dan area keluarga. Tersedia beberapa wahana permainan yang bisa dinikmati oleh anak-anak seperti papan seluncur. terdapat tempat berolahraga seperti jogging track dan lapangan olahraga seperti lapangan futsal dan lapangan keranjang."
29,Antara Gallery of Photo Journalism,tourist_attraction,Jakarta,"Jl. Antara No.59, RT.2/RW.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia",ChIJMa7dZM_1aS4RyPPaTL4Q-8o,4.5,0,10.00 am - 05.00 pm,-6.1658955,106.8339672,13,"https://www.google.com/maps/search/?api=1&query=-6.16585,106.8339009",29,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F29.%20Antara%20Gallery%20of%20Photo%20Journalism%201.jpg?alt=media&token=01c38c7b-1e12-41c5-be62-3bdd8a3b0432,Galeri Foto Jurnalistik Antara adalah organisasi pendidikan nirlaba untuk documentary photographers
30,Museum Tragedi 12 Mei 1998 Universitas Trisakti,museum,Jakarta,"Lobby Gedung M (Dr. Sjarif Thajeb) Kampus A Universitas Trisakti, Jl. Kyai Tapa No.1, RT.6/RW.16, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",ChIJhz-Ax1z2aS4R_Lax780p2Yg,4.9,0,09.00 am - 04.00 pm,-6.1677664,106.7908143,20,"https://www.google.com/maps/search/?api=1&query=-6.167812199999999,106.7901209",30,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F30.%20Museum%20Tragedi%2012%20Mei%201998%20Universitas%20Trisakti%201.jpg?alt=media&token=8e0be5ec-dd39-41bb-b92e-0a1df7f8ec63,museum ini dibangun untuk sebagai sumber informasi dan pengetahuan mengenai Tragedi 12 Mei 1998
31,Bambu Spot Kemang,tourist_attraction,Jakarta,"Jl. Kemang Selatan ID No.21, RT.2/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia",ChIJ6WZ3M9zxaS4Rfls7AIYRB70,5,30000,24 hours,-6.2694218,106.8171733,24,"https://www.google.com/maps/search/?api=1&query=-6.268952899999999,106.8166509",31,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F31.%20Bambu%20Spot%20Kemang%202.jpg?alt=media&token=5fe51bbb-3075-4d7c-8608-c1e5daef711d,tempat wisata yang menyuguhkan hutan bambu yang estetik untuk berfoto dan tempat ini juga nyaman untuk rekreasi mencari ketenangan.
32,Museum of Textile,museum,Jakarta,"Jl. K.S. Tubun No.2-4, RT.4/RW.2, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",ChIJXVigIpv2aS4REJto8lZlJ9w,4.5,5000,08.00 am - 04.00 pm,-6.188703,106.8098459,13,"https://www.google.com/maps/search/?api=1&query=-6.1877726,106.8075247",32,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F32.%20Museum%20of%20Textile%201.jpg?alt=media&token=7843c41a-421a-43aa-a4ac-32ce1390f5f8,"Museum Tekstil adalah sebuah museum di Palmerah, Jakarta Barat, Indonesia. Museum ini menyimpan koleksi tekstil dari berbagai pulau di Indonesia."
33,Ragunan Zoo,zoo,Jakarta,"Jl. Harsono RM No.1, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550, Indonesia",ChIJfXt_sf3taS4Rmga1Wj8q3fk,4.5,5000,07.00 am - 04.00 pm,-6.3059887,106.820353,30,"https://www.google.com/maps/search/?api=1&query=-6.305512100000001,106.8205113",33,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F33.%20Ragunan%20Zoo%202.jpg?alt=media&token=662cd2e3-3c84-47cd-a792-d4ca475374ec,"Kebun Binatang Ragunan adalah kebun binatang yang terletak di Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang ini memiliki luas 140 hektar. Kebun binatang ini memiliki kandang burung dan pusat primata, dan mempekerjakan lebih dari 450 orang. Banyak hewan di kebun binatang yang terancam punah dan terancam punah dari seluruh Indonesia dan seluruh dunia."
